DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;PREÇO MÉDIO REVENDA
17/01/2016;23/01/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,702
24/01/2016;30/01/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,734
31/01/2016;06/02/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,731
07/02/2016;13/02/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,716
14/02/2016;20/02/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,673
21/02/2016;27/02/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,693
28/02/2016;05/03/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,776
06/03/2016;12/03/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,758
13/03/2016;19/03/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,754
20/03/2016;26/03/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,698
27/03/2016;02/04/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,704
03/04/2016;09/04/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,758
10/04/2016;16/04/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,755
17/04/2016;23/04/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,718
24/04/2016;30/04/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,718
01/05/2016;07/05/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,785
08/05/2016;14/05/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,782
15/05/2016;21/05/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,774
22/05/2016;28/05/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,774
29/05/2016;04/06/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,770
05/06/2016;11/06/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,755
12/06/2016;18/06/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,763
19/06/2016;25/06/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,776
26/06/2016;02/07/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,771
03/07/2016;09/07/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,751
10/07/2016;16/07/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,722
17/07/2016;23/07/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,698
24/07/2016;30/07/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,658
31/07/2016;06/08/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,688
07/08/2016;13/08/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,677
14/08/2016;20/08/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,661
21/08/2016;27/08/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,627
28/08/2016;03/09/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,609
04/09/2016;10/09/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,617
11/09/2016;17/09/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,627
